bedrooms,community,drive,latitude,longitude,lotDepth,lotFront,parkingSpaces,price,room1,room4,room6,rooms,rooms1square,rooms2square,rooms3square,rooms4square,rooms5square,rooms6square,daysOnMarket,buildingTypeId
4,250,1,43.38704110000001,-79.82413170000002,109.91,32.81,10,699000.0,16,25,1,8.0,17.4937,14.2544,14.2544,1.3206,14.2544,9.437599999999998,66,3
4,53,8,43.7581027,-79.2669862,150.0,50.0,10,739900.0,16,11,1,6.0,19.944000000000003,9.179,9.179,6.191499999999999,16.0225,10.3251,53,3
5,560,8,43.9830432,-79.2343685,100.0,30.0,15,898888.0,16,13,20,10.0,21.0987,21.0987,16.6964,8.8184,8.2474,22.7934,62,3
7,53,9,43.761955,-79.25081949999998,110.0,47.0,13,799900.0,16,18,2,6.0,21.6972,21.6972,10.5651,11.6424,9.7056,8.064,51,3
4,448,8,43.6306482,-79.6016098,124.3,29.82,15,899000.0,16,13,1,7.0,23.040000000000006,23.040000000000006,17.0752,15.3,19.95,12.48,28,3
5,388,8,43.8895538,-79.0107474,125.42,27.94,2,849000.0,16,13,20,9.0,29.5125,29.5125,21.335,17.097600000000003,17.097600000000003,24.732000000000006,20,3
4,334,8,43.81390800000001,-79.20924699999998,131.36,55.9,10,698999.0,16,18,2,6.0,17.093999999999998,10.3584,11.22,11.97,12.2672,10.64,7,3
5,115,9,43.7841232,-79.1427932,110.0,54.25,10,789900.0,16,7,1,9.0,17.9725,7.3530000000000015,6.254,8.459999999999999,21.8448,8.6625,10,3
5,287,9,43.9217974,-79.4608523,88.58,54.31,15,1388000.0,16,13,20,10.0,24.2692,24.2692,16.0535,19.152,19.152,17.2026,39,3
3,269,8,43.7011198,-79.53180479999997,150.0,44.51,10,873000.0,16,18,27,6.0,15.594600000000002,15.594600000000002,10.9999,10.435100000000002,8.073,16.7031,8,3
5,346,8,43.6397369,-79.7314895,104.86,22.44,13,685000.0,13,18,2,6.0,13.5387,24.2382,24.2382,14.361999999999998,10.0492,6.953999999999999,37,3
6,540,8,43.7282262,-79.8192159,101.73,29.86,10,699900.0,16,7,20,8.0,17.936,17.936,5.7620000000000005,6.095,12.46,21.6216,19,3
6,166,4,43.6666988,-79.4437715,120.0,13.75,2,899000.0,13,18,2,6.0,9.315,24.904000000000003,12.556,13.26,7.3199999999999985,5.59,36,6
5,155,8,43.8869193,-79.429928,100.0,37.5,10,725800.0,16,18,2,6.0,15.368,7.649999999999999,8.54,10.3904,9.8208,7.2828,56,3
6,170,8,43.8791011,-78.92447059999998,100.0,36.5,13,498800.0,16,18,2,6.0,17.0,10.0,13.2,12.48,8.25,9.5,35,3
5,182,8,43.9235624,-78.82386340000002,140.0,50.0,10,769900.0,13,14,9,10.0,28.44,28.44,22.1805,6.212999999999999,27.616000000000003,27.616000000000003,13,3
4,150,8,43.9199155,-78.79433,124.86,45.99,10,489900.0,16,18,2,6.0,14.5024,7.467,12.1187,12.1824,9.516,8.3054,28,3
7,55,1,43.8169858,-79.45775340000002,138.0,27.23,18,1298000.0,16,13,1,8.0,25.5918,25.5918,16.755999999999997,17.155,18.28,13.14,12,3
4,388,8,43.8941578,-79.0406227,69.13,19.03,10,579900.0,8,13,1,7.0,9.6258,25.9825,8.3139,15.8508,14.624000000000002,11.095999999999998,48,6
5,112,8,43.8886486,-79.3773755,90.0,38.0,13,1199900.0,16,13,20,9.0,18.4464,18.4464,16.7727,15.125,9.548,16.4304,61,3
5,125,8,43.5605549,-79.7415079,109.9,23.95,10,745000.0,16,10,1,4.0,16.2498,16.588800000000006,16.588800000000006,15.6366,15.9432,7.7348,11,3
6,93,9,43.9567212,-78.95089870000002,111.58,41.72,10,839900.0,16,13,20,9.0,14.507,14.6048,19.3626,12.5091,11.008,22.14,55,3
5,119,8,44.03877070000001,-79.4717288,102.91,35.09,15,615000.0,16,7,1,8.0,16.4728,8.1125,6.4727999999999986,5.7942,8.3268,9.953,14,3
4,77,9,43.674147,-79.73194720000002,100.0,50.0,15,729900.0,13,18,2,6.0,8.4208,18.078,18.2343,14.0266,11.4615,9.8936,6,3
5,134,9,43.5029422,-79.8458596,88.5,36.0,15,849990.0,10,7,20,9.0,18.1476,14.027999999999999,17.892,17.892,12.357999999999999,19.9104,16,3
5,389,8,43.73623900000001,-79.72389,91.41,45.7,15,537500.0,10,13,1,8.0,17.9224,7.08,7.08,7.9222,14.681,11.021299999999998,29,3
5,121,9,43.87036679999999,-79.0599255,113.14,45.96,18,839900.0,16,10,1,8.0,14.765999999999998,10.4794,23.2,14.752000000000002,24.5864,13.4045,12,3
6,149,4,43.6736396,-79.442302,113.0,20.83,10,949900.0,16,23,1,9.0,12.6492,13.3276,13.999199999999998,4.0280000000000005,16.977800000000002,10.4447,29,3
6,130,9,43.5290133,-79.8455505,118.67,35.14,10,949500.0,16,7,5,8.0,13.728000000000002,14.3715,10.1682,10.962,25.9854,7.507600000000001,46,3
4,463,8,43.3420018,-79.78911190000002,95.8,60.75,15,699000.0,10,13,1,7.0,16.6742,22.631400000000006,10.0165,10.72,14.807,8.671000000000001,44,3
4,178,8,43.6051205,-79.70512109999999,100.07,22.47,10,699900.0,16,18,2,8.0,19.6546,7.899499999999999,6.2419,20.124000000000002,14.9075,8.4485,9,6
6,333,9,43.7174999,-79.65212840000002,131.99,34.35,15,624888.0,16,18,2,7.0,12.514499999999998,8.5284,12.825,13.373,9.35,13.33,49,3
6,154,9,43.8021902,-79.4465012,98.43,25.92,10,1109900.0,16,13,20,9.0,21.868000000000002,21.868000000000002,13.608,11.8116,12.078,18.6756,65,3
4,271,8,43.70953,-79.52998000000002,98.57,18.05,2,719999.0,13,9,1,8.0,9.1086,11.9196,14.832,7.777499999999999,13.423,9.2136,34,6
6,73,9,44.1003332077738,-79.58512723445891,112.47,36.09,10,749900.0,16,7,20,9.0,19.6908,19.6908,11.9255,9.302499999999998,15.3,18.5262,8,3
5,207,8,43.6953381,-79.8247938,85.07,38.68,13,649900.0,16,7,1,7.0,20.0376,19.4684,8.2225,6.4883000000000015,19.2282,11.4563,12,3
7,581,8,44.0266978,-79.80349240000002,140.0,43.0,18,589900.0,13,10,1,8.0,15.96,17.939999999999994,7.839999999999999,14.7,12.642000000000001,12.54,63,3
7,629,8,43.8930914,-78.9488218,140.3,50.0,18,588000.0,16,1,5,5.0,25.5918,26.316,13.7557,12.3711,13.265999999999998,6.643,8,3
4,166,4,43.6659276,-79.4416034,127.0,18.0,1,849900.0,13,18,2,6.0,9.5113,14.240000000000002,11.13,11.55,8.68,10.2672,3,3
4,526,9,43.95059970000001,-78.868661,101.15,51.41,10,569900.0,13,18,2,6.0,6.0225,9.9375,18.2406,18.4012,17.8092,16.419,16,3
6,281,8,43.7383357,-79.280783,110.0,34.46,10,899000.0,13,10,1,11.0,13.8776,21.902400000000004,21.902400000000004,22.49,22.184999999999995,11.902500000000002,30,3
6,76,8,43.75774129999999,-79.7290668,143.83,22.64,13,699000.0,16,13,20,8.0,19.491,19.491,18.334000000000003,7.4529,9.963,16.150499999999994,6,3
6,633,8,43.6915024,-79.56703879999998,118.07,40.15,13,899000.0,16,18,2,5.0,16.43,10.032,6.5539999999999985,14.6142,9.3555,10.4536,41,3
4,28,8,43.9886212,-79.48282409999999,120.05,60.04,18,1398888.0,16,7,20,8.0,13.5261,17.0109,13.0995,10.969499999999998,22.0647,20.5156,20,3
5,350,8,43.8743856,-79.448699,140.0,50.0,15,985000.0,13,11,20,7.0,8.26,12.9404,18.8123,5.6658,23.6988,15.092,64,3
4,287,8,43.9251511,-79.45151209999999,88.58,24.61,10,699900.0,16,13,1,8.0,21.8946,21.8946,14.338,6.832000000000001,4.1085,12.078,12,6
6,91,9,43.3816024,-79.7342559,92.68,71.1,10,1398000.0,16,13,20,9.0,22.9248,22.549200000000006,9.302499999999998,13.1202,13.8294,28.8408,9,3
5,566,8,44.03853529999999,-79.4893402,109.91,25.82,10,685000.0,13,9,20,9.0,8.052,7.2261,16.2357,16.2357,11.6909,11.855199999999998,7,6
6,465,8,43.8293108,-79.2329252,89.9,31.99,13,859000.0,16,13,20,9.0,28.1735,28.1735,16.9092,8.850200000000003,8.357000000000001,18.0972,14,3
7,178,8,43.5714138,-79.6882934,122.96,59.96,15,1255000.0,16,7,20,9.0,24.840000000000003,12.0546,12.852,8.181000000000001,21.045,11.39,44,3
5,322,8,43.5732732,-79.7786892,106.17,38.68,10,998000.0,16,7,23,13.0,13.632,11.296,10.5537,8.289,16.578,11.2055,34,3
5,73,9,44.120338,-79.577925,104.98,28.51,15,559999.0,16,18,2,6.0,31.4976,31.4976,16.146,15.7115,11.658,8.47,43,3
5,209,8,43.48292609013311,-79.8406264185905,88.58,30.02,2,819900.0,16,13,20,9.0,23.7569,21.6036,19.2852,9.014600000000002,8.0008,17.9703,46,3
7,73,8,44.1006568007559,-79.5979803800583,120.0,54.0,13,749900.0,16,7,1,9.0,17.98,12.4,14.8,9.2,29.89,11.56,19,3
4,621,8,43.903118,-79.4470172,147.53,20.0,10,699000.0,10,18,2,6.0,19.5139,12.7002,11.163,23.4423,11.0208,12.1688,15,6
5,308,8,43.8640717,-78.85208809999997,113.0,28.1,13,424900.0,16,18,2,6.0,15.4456,8.0028,11.4458,10.47,8.620300000000002,7.943,17,3
5,595,8,43.8494001,-79.56780959999998,104.99,40.55,10,1318000.0,9,13,10,11.0,23.5053,23.5053,9.179,11.3939,14.2191,18.692999999999998,32,3
5,392,8,43.89230739999999,-79.0397642,128.23,29.7,13,724900.0,16,10,1,7.0,21.3072,8.4118,7.899499999999999,13.896,17.7316,9.424499999999998,12,3
5,125,8,43.561526,-79.748222,109.91,22.47,13,774900.0,16,13,20,8.0,12.992,12.382999999999996,16.1616,6.6856,5.9536,17.352999999999998,41,3
4,206,9,43.6870939,-79.8023355,109.91,31.99,15,764900.0,16,7,20,8.0,30.498,30.498,9.6089,9.4234,30.48,16.345,44,3
6,15,8,43.4034588,-79.82130500000002,88.0,37.0,10,849890.0,16,7,14,10.0,21.1464,21.1464,8.138,7.9460000000000015,18.2329,20.9484,22,3
4,629,1,43.9075879,-78.977158,111.55,24.61,15,549000.0,16,18,2,6.0,17.36,13.5,4.56,15.839999999999998,8.94,10.64,8,3
5,27,8,44.006631,-79.477987,135.0,50.0,13,950000.0,16,18,6,6.0,19.2699,11.7585,10.7016,12.078,10.7055,8.4085,32,3
6,160,1,43.5386789,-79.8618177,140.98,37.11,10,899000.0,16,10,6,10.0,21.4434,18.8365,4.5276,14.6657,27.9775,9.367,16,3
7,595,8,43.85658170000001,-79.55871579999999,105.0,30.0,10,1025000.0,16,13,1,7.0,21.0672,21.0672,19.2464,9.75,15.537900000000002,10.7952,51,3
4,159,3,43.6831777,-79.3453665,89.5,17.75,2,995000.0,16,18,2,6.0,12.1473,9.1448,15.309500000000002,16.2392,12.6873,6.7452,28,3
5,331,9,43.8782108,-78.9650157,133.56,51.82,15,899900.0,16,10,1,10.0,17.3375,13.4433,29.82,15.7315,19.533,13.5199,38,3
4,582,8,43.8421005,-79.0801946,109.91,19.69,2,629900.0,16,18,2,8.0,17.352999999999998,11.1264,15.0371,20.9088,9.695,8.8506,20,6
4,14,9,44.1630852667266,-79.78885173797609,109.91,31.99,15,577900.0,12,18,2,6.0,18.4098,9.9462,9.453,19.278,12.3606,8.844999999999997,28,3
5,213,8,43.6385664,-79.8735868,114.83,40.03,15,829900.0,13,16,20,8.0,9.1506,12.2362,16.296,12.505,10.0345,22.412,32,3
4,339,8,43.8854594,-79.24808840000001,110.0,60.0,10,878888.0,16,18,2,7.0,20.0485,10.1099,12.6577,14.2236,13.0471,8.4816,30,3
4,4,9,43.6406194,-80.0391915,107.45,40.68,10,679000.0,12,18,1,6.0,20.3711,11.1325,12.993,18.468,12.96,10.919,42,3
5,273,8,43.748574700000006,-79.5451462,125.0,30.12,10,639000.0,16,18,2,7.0,25.7968,25.7267,15.8275,14.036,8.548800000000002,10.672,54,3
5,98,9,43.873369,-79.2735021,110.0,60.5,18,899000.0,16,18,2,6.0,15.477,8.48,10.6444,11.39,10.1871,8.991000000000003,5,3
4,116,8,43.88242329999999,-78.8569833,97.0,40.34,10,359800.0,16,18,2,8.0,20.3904,15.2064,17.9745,12.078,12.078,11.936,12,3
4,368,5,43.7050604,-79.3933292,144.66,15.32,10,1118000.0,16,18,2,7.0,12.788999999999998,10.788,17.0154,22.175200000000004,10.929799999999998,9.0932,8,3
3,368,5,43.7050604,-79.3933292,144.66,15.32,10,1118000.0,16,18,2,7.0,12.788999999999998,10.788,17.0154,22.175200000000004,10.929799999999998,9.0932,8,3
6,577,8,43.8249815,-79.3680932,141.08,49.21,15,1349000.0,16,13,10,11.0,20.8623,15.111,20.4015,11.8255,11.2225,21.8862,51,3
5,297,8,43.6876374,-79.55442,125.0,50.0,21,949900.0,13,18,2,8.0,9.86,25.16,8.41,10.35,10.8,8.64,21,3
5,332,8,43.7062269,-79.743544,100.0,50.0,15,599900.0,13,18,15,5.0,7.944,9.507599999999998,12.549599999999998,14.622799999999998,13.468000000000002,7.3525,32,3
