index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15641,-79.4039301,43.8735733,Ontario,1998000.0,1,3,7,5,97,Freehold,58.07233428955078
15642,-79.39295759999997,43.6457947,Ontario,515000.0,1,1,1,1,110,Condominium/Strata,26.620004653930664
15643,-79.589036,43.74789000000001,Ontario,679900.0,1,3,4,2,6,Freehold,29.09417152404785
15644,-79.378497,43.16971,Ontario,649900.0,1,3,3,2,19,Freehold,45.08878707885742
15645,-80.371403,46.186602,Ontario,249000.0,1,3,1,0,246,Freehold,70.80856323242188
15646,-80.727903,42.805594,Ontario,479900.0,1,3,4,2,126,Freehold,38.898101806640625
15647,-79.791859,43.405208,Ontario,750000.0,1,3,3,3,5,Freehold,34.86760711669922
15648,-79.47372779999998,43.9207948,Ontario,2250.0,2,6,5,4,6,Freehold,24.101524353027344
15649,-79.50042009999999,44.0464711,Ontario,2500.0,2,3,5,4,35,Freehold,34.804290771484375
15650,-80.589236,43.464571,Ontario,1900.0,2,3,3,2,6,Freehold,22.942333221435547
