longitude,latitude,price,buildingTypeId,style,airConditioning,washrooms,basement1,cableTVIncluded,cacIncluded,familyRoom,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,parkingIncluded,room1,room1Length,room1Width,room2,room2Length,room2Width,room3,room3Length,room3Width,room4,room4Length,room4Width,room5,room5Length,room5Width,rooms,streetDirection,waterIncluded,totalParkingSpaces,daysOnMarket,bedrooms
-79.20847859999998,43.771945,699000.0,3,9,0,2.0,3,0,0,0,0,1,2,2,1.0,2.0,0,17,4.4,3.55,9,4.4,3.55,13,3.97,3.25,17,3.45,2.8,0,3.13,3.02,6.0,0,0,2.0,36,6.0
-79.408739,43.6442744,2150000.0,3,3,0,3.0,3,0,0,0,1,1,4,3,1.0,0.0,0,14,5.95,3.0,9,3.9,3.0,16,4.95,4.05,7,3.35,3.0,5,3.55,3.45,8.0,0,0,0.0,43,4.0
-79.408739,43.6442744,2150000.0,3,3,0,3.0,3,0,0,0,1,1,4,3,1.0,0.0,0,14,5.95,3.0,9,3.9,3.0,16,4.95,4.05,7,3.35,3.0,5,3.55,3.45,8.0,0,0,0.0,43,2.0
-79.2191825,43.7766253,599999.0,3,6,0,2.0,3,0,0,0,0,1,4,2,1.0,3.0,0,17,16.73,10.82,9,9.51,9.18,13,11.15,8.86,17,13.78,8.86,0,11.48,11.15,7.0,0,0,3.0,8,4.0
-79.25255940000002,43.77374879999999,458000.0,1,13,0,2.0,6,1,2,0,0,1,7,2,1.0,1.0,2,17,5.76,3.04,9,5.76,3.04,13,2.31,2.43,17,3.94,3.04,5,3.04,2.74,5.0,0,2,1.0,26,2.0
-79.273738,43.96767420000001,599888.0,6,3,0,3.0,1,0,0,0,0,1,0,2,1.0,2.0,0,17,2.73,2.59,9,3.35,2.59,13,3.35,2.44,17,3.05,3.35,0,2.59,3.05,5.0,0,0,3.0,62,2.0
-79.72451159999999,43.3824408,3900.0,3,2,0,5.0,3,1,1,1,1,1,0,2,1.0,2.0,2,17,3.84,3.23,9,3.84,3.41,15,3.47,3.04,9,4.88,4.57,16,3.35,3.96,11.0,0,1,2.0,5,6.0
-79.6659725,43.7703388,769990.0,3,2,0,4.0,3,0,0,1,0,1,0,2,1.0,3.0,0,17,4.26,4.41,13,3.65,2.43,9,4.26,3.04,17,5.48,3.65,0,4.26,3.65,10.0,0,0,4.0,34,4.0
-79.506087,43.6926981,599900.0,6,2,0,3.0,3,1,1,1,0,1,1,2,1.0,1.0,2,14,4.05,3.2,16,4.5,3.02,18,3.97,2.81,0,2.34,3.29,1,3.17,2.82,5.0,0,1,1.0,3,3.0
-79.7349866,43.4376224,1688000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,4.0,0,17,3.66,5.59,9,3.66,4.19,13,4.11,7.34,9,4.56,5.66,25,3.6,3.66,11.0,0,0,6.0,61,6.0
