province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
British Columbia,Ladysmith,565 Jim Cram Drive,-123.842969,48.999701,399900.0,2.0,1,8/6/2018,15,1.0
Ontario,Toronto,Ph10-170 Fort York Blvd,-79.3997415,43.6393466,499000.0,1.0,1,6/6/2018,12,3.0
Manitoba,Winnipeg,10 Dallas Rd,-97.252669,49.88128,279900.0,1.0,1,1/7/2018,13,4.0
British Columbia,Victoria,3715 Stamboul St,-123.331167,48.46179,899900.0,1.0,1,7/6/2018,16,3.0
Ontario,Mount Forest,107 Byeland Drive,-80.73791800000002,43.986856,249900.0,1.0,1,9/6/2018,36,3.0
Ontario,Toronto,58 Amroth Ave,-79.31143840000001,43.6850406,599000.0,2.0,1,8/6/2018,6,2.0
Nova Scotia,New Glasgow,124 Mackay Street,-62.6407254,45.5869153,45900.0,2.0,1,5/6/2018,18,2.0
Ontario,North York,314-25 Sunrise Ave,-79.3017487,43.7190266,349900.0,2.0,1,4/6/2018,17,2.0
Quebec,Laval,102-1710 Rue Mcnamara,-73.72187493,45.57009349,265000.0,1.0,1,23/6/2018,20,3.0
Alberta,Edmonton,10015 171 Av Nw,-113.49709,53.63253,275000.0,1.0,1,14/6/2018,26,3.0
Ontario,Brampton,39 Princeton Terrace,-79.74241500000002,43.744643,749900.0,2.0,1,5/6/2018,34,2.0
British Columbia,Coquitlam,316 1219 Johnson Street,-122.8015611,49.2857501,545000.0,2.0,1,1/7/2018,13,4.0
Ontario,Sarnia,242 Oslo Crescent,-82.353775,42.964342,319900.0,1.0,1,26/6/2018,17,4.0
Ontario,Staples,522 County Rd 8,-82.601223,42.170001,419000.0,1.0,1,14/6/2018,12,2.0
Ontario,Welland,287 Riverside Drive,-79.271314,42.979319,309900.0,1.0,1,16/6/2018,7,3.0
Ontario,Mississauga,43-601 Shoreline Dr,-79.6301585,43.57084310000001,549000.0,2.0,1,14/6/2018,12,1.0
British Columbia,North Vancouver,308 3732 Mt Seymour Parkway,-122.968106,49.3162038,539900.0,2.0,1,7/6/2018,13,2.0
British Columbia,Nanaimo,201-2115 Meredith Road,-123.989915,49.188069,319000.0,2.0,1,22/6/2018,18,2.0
Ontario,Kingston,55 Rose Abbey Drive,-76.4493437,44.258655,229900.0,1.0,1,27/6/2018,20,3.0
British Columbia,Victoria,1245 Parkdale Creek Gdns,-123.532112,48.440213,569000.0,2.0,1,20/6/2018,31,2.0
Prince Edward Island,Charlottetown,20 Robertson Road,-63.1025,46.2757,354900.0,1.0,1,2/6/2018,21,4.0
Manitoba,Winnipeg,18 Galinee Bay,-97.298127,49.877275,359900.0,1.0,1,15/6/2018,11,3.0
Alberta,Calgary,401 26 Av Nw,-114.067683,51.076038,675000.0,2.0,1,21/6/2018,14,2.0
British Columbia,Chilliwack,101 45765 Spadina Avenue,-121.9580269,49.170096,258920.0,1.0,1,8/6/2018,13,5.0
Alberta,St. Albert,7 Nadia Pl,-113.667848,53.6553167,1049000.0,1.0,1,11/6/2018,2,4.0
Ontario,Blyth,488 Gypsy Lane,-81.429714,43.738624,299000.0,2.0,1,12/6/2018,14,2.0
British Columbia,Campbell River,287 Arizona Drive,-125.2124,49.950228,525000.0,1.0,1,7/6/2018,19,3.0
Manitoba,Winnipeg,719 Rosseau Ave W,-97.022407,49.898524,336900.0,1.0,1,2/6/2018,25,5.0
