province,longitude,latitude,price,buildingTypeId,bedrooms,daysOnMarket
Ontario,-74.662476,45.298612,234500.0,1.0,8.0,16
Ontario,-79.90405600000003,43.260084,649900.0,1.0,3.0,6
Ontario,-75.740763,45.273889,234900.0,1.0,5.0,19
Ontario,-79.7616511,43.70415300000001,434900.0,2.0,2.0,7
British Columbia,-123.0055412,49.2660666,643000.0,1.0,4.0,26
Ontario,-79.2509847,43.8400749,788800.0,1.0,2.0,35
Quebec,-74.602758,46.117135,209900.0,1.0,3.0,43
Ontario,-80.176517,43.509966,489900.0,1.0,3.0,14
Ontario,-79.23643630000002,43.9783779,629900.0,2.0,1.0,1
Ontario,-79.1826878,43.7869603,1349000.0,1.0,3.0,17
Alberta,-110.789754,50.072342,182900.0,1.0,4.0,7
Saskatchewan,-102.785702,50.933644,305000.0,2.0,1.0,18
British Columbia,-123.1214703,49.2792146,674900.0,2.0,1.0,22
British Columbia,-122.98880590000002,50.0959511,135000.0,1.0,4.0,9
Ontario,-79.7355402,43.5633589,920000.0,1.0,3.0,22
Ontario,-80.18002299999998,43.517006,429900.0,2.0,2.0,17
British Columbia,-123.1200097,49.2307471,1085000.0,2.0,2.0,7
British Columbia,-123.1591805,49.1207158,699900.0,2.0,2.0,18
Quebec,-74.16448100000002,45.894288,279000.0,1.0,3.0,22
Ontario,-76.1211945,44.5525069,159803.0,1.0,3.0,9
Alberta,-114.010634,51.261824,399900.0,1.0,3.0,11
Ontario,-79.812212,43.127014,424000.0,1.0,4.0,11
Ontario,-80.2514255,43.5772001,499900.0,1.0,4.0,15
British Columbia,-123.1372096,49.1725928,736000.0,2.0,3.0,2
British Columbia,-123.378155,48.463684,1199000.0,1.0,4.0,33
Ontario,-79.2645178,43.7059744,699900.0,2.0,2.0,7
Alberta,-114.059694,50.91193300000001,259000.0,1.0,3.0,19
Ontario,-79.8404601216316,43.75061564924379,674888.0,2.0,1.0,14
British Columbia,-123.361529,48.424865,424900.0,1.0,4.0,19
British Columbia,-121.954437762676,52.1224501201293,422000.0,1.0,5.0,42
Ontario,-79.22162790000002,43.735044,699000.0,1.0,5.0,29
Ontario,-79.2283076,43.8224588,699000.0,1.0,3.0,34
Alberta,-113.6068274,53.62499129999999,319900.0,1.0,2.0,41
Ontario,-74.629463,45.512065,119000.0,1.0,3.0,29
Manitoba,-97.309889,49.860191,309900.0,1.0,3.0,15
Alberta,-114.087675,50.95274600000001,249900.0,2.0,2.0,10
Ontario,-80.7541503,42.8809504,224900.0,1.0,1.0,4
Nova Scotia,-63.68235,44.7905001,194900.0,1.0,3.0,21
Ontario,-79.70533449999998,43.5962247,769999.0,1.0,4.0,11
Alberta,-113.5601964,53.5654363,300000.0,2.0,1.0,12
Ontario,-79.4799355,43.7259962,362900.0,2.0,2.0,11
Alberta,-114.062341,51.032906,485000.0,1.0,3.0,31
Ontario,-79.51684809999998,43.7494371,174900.0,1.0,3.0,17
Ontario,-79.7373408,43.5754552,639900.0,1.0,4.0,24
Ontario,-74.933865,45.120803,368500.0,2.0,2.0,28
Ontario,-75.670342,45.438241,328500.0,1.0,3.0,29
Ontario,-79.51104690000003,43.75598400000001,719900.0,2.0,1.0,2
British Columbia,-123.0915742,49.2631733,479000.0,1.0,5.0,11
Alberta,-114.129958,51.13757,699000.0,1.0,4.0,35
Ontario,-79.04996170000003,43.886215,778000.0,1.0,4.0,5
Ontario,-79.1720567,43.8094125,519900.0,1.0,6.0,8
British Columbia,-123.353826,48.45954,750000.0,2.0,1.0,8
British Columbia,-123.0238419,49.2342864,588000.0,1.0,4.0,25
British Columbia,-124.198252,49.30287,858000.0,1.0,3.0,6
Ontario,-75.732387,45.376832,399900.0,1.0,3.0,15
Ontario,-81.171448,42.962923,359900.0,1.0,5.0,2
New Brunswick,-64.7128,46.0925,374900.0,1.0,4.0,13
Ontario,-80.089388,43.296438,774950.0,1.0,4.0,9
Ontario,-77.407365,44.235888,337900.0,2.0,2.0,6
British Columbia,-123.1100866,49.2791133,930000.0,1.0,3.0,25
Manitoba,-97.594755,49.35481,279900.0,1.0,3.0,7
Ontario,-79.4493254,43.6535461,799000.0,1.0,2.0,14
Ontario,-79.866389,43.489288,539900.0,2.0,2.0,16
Alberta,-114.202987,51.140399,315000.0,2.0,2.0,30
Ontario,-79.3460908,43.77432520000001,599990.0,1.0,4.0,5
Ontario,-79.71771600000002,43.569493,715000.0,1.0,3.0,30
British Columbia,-123.863069,49.167996,525000.0,1.0,3.0,35
Ontario,-79.104803,43.070295,750000.0,1.0,4.0,19
